order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
1,6697,2025-11-21,267,3,72.21,216.63,Completed,2025-11-25
2,477,2021-05-30,116,2,11.82,23.64,Pending,
3,4968,2025-04-19,356,2,73.88,147.76,Completed,2025-04-24
4,1206,2024-10-05,174,3,255.97,767.91,Completed,2024-10-06
5,4427,2024-01-30,491,1,59.99,59.99,Cancelled,2024-01-30
6,5649,2021-12-18,198,2,9.77,19.54,Completed,2021-12-22
7,4066,2024-08-12,398,1,16.9,16.9,Completed,2024-08-23
8,620,2025-12-17,379,2,25.51,51.02,Completed,2025-12-29
9,8863,2025-02-02,78,2,72.96,145.92,Pending,
10,5671,2026-04-28,316,7,328.25,2297.75,Completed,2026-04-28
11,3660,2023-05-16,453,2,100.62,201.24,Completed,2023-05-20
12,5847,2022-10-06,289,2,12.02,24.04,Completed,2022-10-09
13,9951,2024-10-10,367,8,8.18,65.44,Completed,2024-10-17
14,2007,2026-06-02,74,6,22.88,137.28,Completed,2026-06-12
15,4815,2026-06-24,472,1,49.25,49.25,Completed,2026-06-26
16,8586,2026-02-25,321,1,197.35,197.35,Pending,
17,4581,2025-09-12,248,7,55.53,388.71,Pending,
18,9835,2026-06-06,169,4,81.12,324.48,Completed,2026-06-12
19,6608,2026-02-19,155,5,31.89,159.45,Completed,2026-02-21
20,2170,2022-06-23,337,1,89.2,89.2,Completed,2022-07-07
21,7269,2023-12-01,44,5,13.93,69.65,Completed,2023-12-09
22,8249,2026-06-14,423,1,28.9,28.9,Completed,2026-06-15
23,8269,2026-08-10,140,2,79.31,158.62,Cancelled,2026-08-14
24,2159,2026-07-17,119,2,69.78,139.56,Completed,2026-07-24
25,2385,2021-09-01,466,1,75.13,75.13,Cancelled,2021-09-11
26,6598,2026-06-15,196,7,128.81,901.67,Completed,2026-06-22
27,3603,2023-09-24,113,3,9.38,28.14,Completed,2023-09-28
28,227,2026-07-09,275,1,74.32,74.32,Completed,2026-07-09
29,1266,2022-04-16,62,2,92.41,184.82,Completed,2022-04-20
30,6603,2026-05-17,66,6,24.62,147.72,Completed,2026-05-28
